#####################################################################
# Alchemist log file - simulation started at: 2023-05-12T00:47+0000 #
#####################################################################
#
# random = 13.0
#
# The columns have the following meaning: 
# time coverage totalReward inside[sum] 
8917.1 0.432403667776162 -1974.5532257107611 22.0
8918.1 0.4302678084445502 -1974.5532257107611 22.0
8919.1 0.43551963105363256 -1974.5532257107611 23.0
8920.1 0.4398958700957807 -1974.5532257107611 23.0
8921.1 0.4374478797099146 -1974.5532257107611 23.0
8922.1 0.4433863284608557 -1974.5532257107611 23.0
8923.1 0.4456204904213073 -1974.5532257107611 23.0
8924.1 0.4493705398524205 -1974.5532257107611 23.0
8925.1 0.4533944811747668 -1974.5532257107611 23.0
8926.1 0.45778713507713864 -1974.5532257107611 23.0
8927.1 0.46134300417310514 -1974.5532257107611 23.0
8928.1 0.4679481822656337 -1974.5532257107611 24.0
8929.1 0.4872634363714006 -1974.5532257107611 24.0
8930.1 0.4987096303249123 -1974.5532257107611 24.0
8931.1 0.4871143347243684 -1974.5532257107611 24.0
8932.1 0.48443467097034454 -1974.5532257107611 24.0
8933.1 0.4675634278903895 -1974.5532257107611 24.0
8934.1 0.46439573293221387 -1974.5532257107611 24.0
8935.1 0.4862668553878172 -1974.5532257107611 24.0
8936.1 0.4789422836104833 -1974.5532257107611 24.0
8937.1 0.4801513872919634 -1974.5532257107611 24.0
8938.1 0.4796478738901005 -1974.5532257107611 24.0
8939.1 0.4802724468861134 -1974.5532257107611 24.0
8940.1 0.47993158982646755 -1974.5532257107611 25.0
8941.1 0.4906437162049739 -1974.5532257107611 25.0
8942.1 0.5002062427703111 -1974.5532257107611 24.0
8943.1 0.49558365646980523 -1974.5532257107611 24.0
8944.1 0.5020744279607745 -1974.5532257107611 24.0
8945.1 0.48853111125867904 -1974.5532257107611 24.0
8946.1 0.47216586868062077 -1974.5532257107611 24.0
8947.1 0.4672512968361352 -1974.5532257107611 24.0
8948.1 0.4642931400558155 -1974.5532257107611 24.0
8949.1 0.4642931400558155 -1974.5532257107611 24.0
8950.1 0.4642931400558155 -1974.5532257107611 24.0
8951.1 0.4642931400558155 -1974.5532257107611 24.0
8952.1 0.4642931400558155 -1974.5532257107611 24.0
8953.1 0.4642931400558155 -1974.5532257107611 24.0
8954.1 0.4797446220814192 -1974.5532257107611 24.0
8955.1 0.46877638657692217 -1974.5532257107611 24.0
8956.1 0.46877638657692217 -1974.5532257107611 24.0
8957.1 0.46877638657692217 -1974.5532257107611 24.0
8958.1 0.4536243513953999 -1974.5532257107611 24.0
8959.1 0.4361182138542913 -1974.5532257107611 24.0
8960.1 0.4542792670118264 -1974.5532257107611 23.0
8961.1 0.45533497879871576 -1974.5532257107611 24.0
8962.1 0.4690441850730722 -1974.5532257107611 24.0
8963.1 0.4634927290874059 -1974.5532257107611 25.0
8964.1 0.4648429135183089 -1974.5532257107611 25.0
8965.1 0.4664229681698451 -1974.5532257107611 25.0
8966.1 0.4557244586640244 -1974.5532257107611 24.0
8967.1 0.47155192803725277 -1974.5532257107611 24.0
8968.1 0.46219987231228427 -1974.5532257107611 24.0
8969.1 0.4443794275043916 -1974.5532257107611 25.0
8970.1 0.4340262518382778 -1974.5532257107611 25.0
8971.1 0.4221237372060465 -1974.5532257107611 25.0
8972.1 0.4354391111900351 -1974.5532257107611 25.0
8973.1 0.41707535937973716 -1974.5532257107611 25.0
8974.1 0.40331125037213233 -1974.5532257107611 25.0
8975.1 0.40404133858708347 -1974.5532257107611 25.0
8976.1 0.39269207935739303 -1974.5532257107611 25.0
8977.1 0.39269207935739303 -1974.5532257107611 25.0
8978.1 0.3918161849029546 -1974.5532257107611 25.0
8979.1 0.38215846458381986 -1974.5532257107611 25.0
8980.1 0.39328052722541357 -1974.5532257107611 25.0
8981.1 0.3888468983499832 -1974.5532257107611 25.0
8982.1 0.3803906338797243 -1974.5532257107611 25.0
8983.1 0.37099163414161596 -1974.5532257107611 24.0
8984.1 0.37913713546263916 -1974.5532257107611 24.0
8985.1 0.3874766305863065 -1974.5532257107611 24.0
8986.1 0.3874766305863065 -1974.5532257107611 25.0
8987.1 0.3874766305863065 -1974.5532257107611 25.0
8988.1 0.3880221759787423 -1974.5532257107611 25.0
8989.1 0.3880221759787423 -1974.5532257107611 24.0
8990.1 0.3880221759787423 -1974.5532257107611 24.0
8991.1 0.3878710846516829 -1974.5532257107611 24.0
8992.1 0.3878710846516829 -1974.5532257107611 24.0
8993.1 0.3799453186186547 -1974.5532257107611 24.0
8994.1 0.3726429442091233 -1974.5532257107611 25.0
8995.1 0.37202092049064517 -1974.5532257107611 25.0
8996.1 0.37202092049064517 -1974.5532257107611 25.0
8997.1 0.3751108935727615 -1974.5532257107611 25.0
8998.1 0.3688722518477288 -1974.5532257107611 25.0
8999.1 0.38080604176288635 -1974.5532257107611 25.0
9000.1 0.38175785494585956 -1974.5532257107611 25.0
9001.1 0.10433788795962541 -2027.159924758826 24.0
9002.1 0.1142395306145848 -2027.159924758826 4.0
9003.1 0.11725035173812229 -2027.159924758826 4.0
9004.1 0.12182580749298576 -2027.159924758826 4.0
9005.1 0.13101974583329914 -2027.159924758826 4.0
9006.1 0.14245244726912687 -2027.159924758826 4.0
9007.1 0.15134507344033335 -2027.159924758826 4.0
9008.1 0.15793315272012887 -2027.159924758826 4.0
9009.1 0.16578219171711128 -2027.159924758826 4.0
9010.1 0.17397401527626583 -2027.159924758826 4.0
9011.1 0.17667761736811594 -2027.159924758826 4.0
9012.1 0.17785525923416717 -2027.159924758826 4.0
9013.1 0.1853439174362376 -2027.159924758826 4.0
9014.1 0.18816285879215977 -2027.159924758826 4.0
9015.1 0.18809384176621907 -2027.159924758826 4.0
9016.1 0.1900110850048511 -2027.159924758826 4.0
9017.1 0.19289139555410972 -2027.159924758826 4.0
9018.1 0.19320483233588187 -2027.159924758826 4.0
9019.1 0.2007964564793557 -2027.159924758826 4.0
9020.1 0.20233056195776555 -2027.159924758826 4.0
9021.1 0.21466707554591224 -2027.159924758826 4.0
9022.1 0.2194127732980961 -2027.159924758826 4.0
9023.1 0.22524054609752864 -2027.159924758826 4.0
9024.1 0.23494384252478456 -2027.159924758826 4.0
9025.1 0.2365995671948521 -2027.159924758826 4.0
9026.1 0.2392588989060988 -2027.159924758826 4.0
9027.1 0.24102032532760703 -2027.159924758826 5.0
9028.1 0.24027885863000084 -2027.159924758826 5.0
9029.1 0.23909344457634366 -2027.159924758826 5.0
9030.1 0.2382641832475408 -2027.159924758826 6.0
9031.1 0.2413861777425936 -2027.159924758826 6.0
9032.1 0.24820984757310022 -2027.159924758826 6.0
9033.1 0.24931698015319043 -2027.159924758826 6.0
9034.1 0.254056273622787 -2027.159924758826 6.0
9035.1 0.2687855017985464 -2027.159924758826 7.0
9036.1 0.28745609957552665 -2027.159924758826 8.0
9037.1 0.313322375170584 -2027.159924758826 9.0
9038.1 0.3277797011351373 -2027.159924758826 11.0
9039.1 0.34461270505207114 -2027.159924758826 11.0
9040.1 0.35821415771745896 -2027.159924758826 13.0
9041.1 0.37075007455082354 -2027.159924758826 14.0
9042.1 0.37305990652980653 -2027.159924758826 13.0
9043.1 0.362897429258792 -2027.159924758826 13.0
9044.1 0.3700427433011826 -2027.159924758826 13.0
9045.1 0.3522050753255552 -2027.159924758826 14.0
9046.1 0.3698728743688673 -2027.159924758826 13.0
9047.1 0.37528555017264204 -2027.159924758826 13.0
9048.1 0.3836923835297272 -2027.159924758826 14.0
9049.1 0.3880119166911024 -2027.159924758826 14.0
9050.1 0.39387307880849004 -2027.159924758826 14.0
9051.1 0.3957091804085161 -2027.159924758826 14.0
9052.1 0.3809785843277381 -2027.159924758826 14.0
9053.1 0.38997691225038533 -2027.159924758826 13.0
9054.1 0.39338461236183225 -2027.159924758826 13.0
9055.1 0.3997005407204184 -2027.159924758826 13.0
9056.1 0.3997005407204184 -2027.159924758826 14.0
9057.1 0.404607775619804 -2027.159924758826 14.0
9058.1 0.39682887284377755 -2027.159924758826 14.0
9059.1 0.373627587112544 -2027.159924758826 14.0
9060.1 0.37048445226720306 -2027.159924758826 13.0
9061.1 0.37961273116662153 -2027.159924758826 13.0
9062.1 0.3813001663621213 -2027.159924758826 14.0
9063.1 0.4023876657745439 -2027.159924758826 14.0
9064.1 0.41119803111212916 -2027.159924758826 14.0
9065.1 0.42110638893718005 -2027.159924758826 14.0
9066.1 0.4311526564591107 -2027.159924758826 14.0
9067.1 0.4520214154235519 -2027.159924758826 14.0
9068.1 0.47010791775757094 -2027.159924758826 15.0
9069.1 0.4802708302710914 -2027.159924758826 15.0
9070.1 0.49358060828000366 -2027.159924758826 15.0
9071.1 0.49358060828000366 -2027.159924758826 17.0
9072.1 0.5058490685934728 -2027.159924758826 17.0
9073.1 0.5091418646833537 -2027.159924758826 19.0
9074.1 0.5102123747154447 -2027.159924758826 20.0
9075.1 0.5117109146633698 -2027.159924758826 20.0
9076.1 0.5103198796144099 -2027.159924758826 20.0
9077.1 0.5132317763340991 -2027.159924758826 20.0
9078.1 0.5140578666103587 -2027.159924758826 20.0
9079.1 0.5178633783722278 -2027.159924758826 20.0
9080.1 0.5217839806881657 -2027.159924758826 20.0
9081.1 0.5241685500231673 -2027.159924758826 20.0
9082.1 0.5223588116835006 -2027.159924758826 20.0
9083.1 0.5242082814462089 -2027.159924758826 20.0
9084.1 0.5264992114649343 -2027.159924758826 20.0
9085.1 0.5268013008528017 -2027.159924758826 20.0
9086.1 0.5324448417172232 -2027.159924758826 20.0
9087.1 0.5337525589150474 -2027.159924758826 20.0
9088.1 0.5244185035765742 -2027.159924758826 21.0
9089.1 0.5210304515553951 -2027.159924758826 21.0
9090.1 0.518994200580141 -2027.159924758826 21.0
9091.1 0.5216003083506622 -2027.159924758826 22.0
9092.1 0.5276322098853771 -2027.159924758826 23.0
9093.1 0.5339953931446072 -2027.159924758826 23.0
9094.1 0.5318153877873938 -2027.159924758826 23.0
9095.1 0.5292756234102768 -2027.159924758826 23.0
